mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX;HRZB00ICBEX6;3.11.2025;3815,21;3826,78;3804,81;3804,87;-0,26;1702558,03
XZAG;CBX;HRZB00ICBEX6;31.10.2025;3807,63;3818,08;3797,26;3814,92;0,21;2605209,07
XZAG;CBX;HRZB00ICBEX6;30.10.2025;3813,68;3826,99;3802,74;3807,02;-0,17;1752281,26
XZAG;CBX;HRZB00ICBEX6;29.10.2025;3823,3;3829,8;3794,84;3813,68;-0,26;3924525,11
XZAG;CBX;HRZB00ICBEX6;28.10.2025;3830,41;3836,46;3812,39;3823,7;-0,18;2863148,39
XZAG;CBX;HRZB00ICBEX6;27.10.2025;3842,83;3869,1;3825,71;3830,41;-0,32;3072345,79
XZAG;CBX;HRZB00ICBEX6;24.10.2025;3838,16;3853,28;3830,84;3842,83;0,06;1883666,86
XZAG;CBX;HRZB00ICBEX6;23.10.2025;3818,19;3850,18;3815,07;3840,53;0,68;1851849,67
XZAG;CBX;HRZB00ICBEX6;22.10.2025;3802,7;3823,43;3802,55;3814,54;0,44;1238575,54
XZAG;CBX;HRZB00ICBEX6;21.10.2025;3790,54;3801,49;3786,98;3797,68;0,21;2082031,7
XZAG;CBX;HRZB00ICBEX6;20.10.2025;3784,04;3790,69;3772,92;3789,62;0,2;1056281,92
XZAG;CBX;HRZB00ICBEX6;17.10.2025;3783,2;3783,2;3760,83;3781,91;-0,03;1371803,98
XZAG;CBX;HRZB00ICBEX6;16.10.2025;3752,78;3783,2;3752,78;3783,2;0,74;1151260,89
XZAG;CBX;HRZB00ICBEX6;15.10.2025;3747,5;3758,26;3745,22;3755,29;0,16;943691,44
XZAG;CBX;HRZB00ICBEX6;14.10.2025;3757,52;3776,84;3743,44;3749,37;-0,31;3249116,46
XZAG;CBX;HRZB00ICBEX6;13.10.2025;3760,45;3771,2;3754,59;3761,19;0,02;1031623,32
XZAG;CBX;HRZB00ICBEX6;10.10.2025;3778,04;3781,08;3747,37;3760,45;-0,41;3418090,5
XZAG;CBX;HRZB00ICBEX6;9.10.2025;3780,36;3782,08;3757,05;3775,91;-0,12;1821745,82
XZAG;CBX;HRZB00ICBEX6;8.10.2025;3797,7;3802,15;3762,81;3780,36;-0,45;2031528,44
XZAG;CBX;HRZB00ICBEX6;7.10.2025;3806,62;3816,37;3795,07;3797,41;-0,27;2986458,34
XZAG;CBX;HRZB00ICBEX6;6.10.2025;3826,34;3831,19;3802,51;3807,54;-0,51;2913366,78
XZAG;CBX;HRZB00ICBEX6;3.10.2025;3829,21;3844,48;3817,63;3827,04;0,03;3436208,92
XZAG;CBX;HRZB00ICBEX6;2.10.2025;3809,22;3829,86;3803,23;3826,02;0,46;1679823,78
XZAG;CBX;HRZB00ICBEX6;1.10.2025;3799,63;3808,65;3786,12;3808,5;0,27;2560079,5
XZAG;CBX;HRZB00ICBEX6;30.9.2025;3801,29;3804,09;3790,53;3798,11;0,01;1956850,19
XZAG;CBX;HRZB00ICBEX6;29.9.2025;3796,98;3804,77;3791,12;3797,62;0,02;2502137,95
XZAG;CBX;HRZB00ICBEX6;26.9.2025;3788,89;3796,98;3777,34;3796,98;0,21;3105961,87
XZAG;CBX;HRZB00ICBEX6;25.9.2025;3787,58;3795,38;3756,76;3788,89;-0,01;2808281,19
XZAG;CBX;HRZB00ICBEX6;24.9.2025;3796,33;3799,73;3783,68;3789,41;-0,21;1622030,66
XZAG;CBX;HRZB00ICBEX6;23.9.2025;3827,95;3834,33;3785,38;3797,39;-0,8;2626678,89
XZAG;CBX;HRZB00ICBEX6;22.9.2025;3841,78;3841,78;3822,79;3827,95;-0,36;2149221,06
XZAG;CBX;HRZB00ICBEX6;19.9.2025;3822,26;3858,84;3822,26;3841,78;0,5;4612403,19
XZAG;CBX;HRZB00ICBEX6;18.9.2025;3832,79;3849,6;3821,26;3822,56;-0,16;2145065,8
XZAG;CBX;HRZB00ICBEX6;17.9.2025;3838,84;3848,86;3826,52;3828,78;-0,26;2321043,7
XZAG;CBX;HRZB00ICBEX6;16.9.2025;3869,04;3869,04;3831,66;3838,84;-0,78;1934319,89
